Protocol,NetworkID,Group,Radio,priority,Override,Hits,Timestamp,Radio alias
P25,BEE00.2D1,-2,2037784,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Junee 722
P25,BEE00.2D1,-2,2037375,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Junee 723
P25,BEE00.2D1,-2,2038538,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Binalong 730
P25,BEE00.2D1,-2,2038613,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Binalong 731
P25,BEE00.2D1,-2,2019762,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Binalong 732
P25,BEE00.2D1,-2,2038536,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Batlow 740
P25,BEE00.2D1,-2,2038612,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Batlow 741
P25,BEE00.2D1,-2,2038623,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Batlow 743
P25,BEE00.2D1,-2,2038548,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Corowa 770
P25,BEE00.2D1,-2,2038616,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Corowa 771
P25,BEE00.2D1,-2,2036137,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Corowa 772
P25,BEE00.2D1,-2,2038219,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Corowa 773
P25,BEE00.2D1,-2,2038535,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Albury 870
P25,BEE00.2D1,-2,2038601,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Albury 871
P25,BEE00.2D1,-2,2034442,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Albury 872
P25,BEE00.2D1,-2,2038608,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Albury 873
P25,BEE00.2D1,-2,2019750,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Albury 874
P25,BEE00.2D1,-2,2038577,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - SRG Wollongong 820
P25,BEE00.2D1,-2,2038606,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - SRG Wollongong 821A
P25,BEE00.2D1,-2,2038244,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - SRG Wollongong 821B
P25,BEE00.2D1,-2,2038607,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - SRG Wollongong 822
P25,BEE00.2D1,-2,2034438,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - SRG Wollongong 823
P25,BEE00.2D1,-2,2038568,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narooma 860
P25,BEE00.2D1,-2,2038474,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Bega 870
P25,BEE00.2D1,-2,2038627,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Bega 871
P25,BEE00.2D1,-2,2038619,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Bega 872
P25,BEE00.2D1,-2,2034416,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Bega 873
P25,BEE00.2D1,-2,2019798,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Cave Rescue 921
P25,BEE00.2D1,-2,2038576,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - WICEN 950
P25,BEE00.2D1,-2,2017998,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - OCV 962A
P25,BEE00.2D1,-2,2017992,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - OCV 962B
